date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2017-07-03,sz.300274,11.1400,11.3800,11.0600,11.3500,11.0900,18651556,209979245.0000,3,2.216794,1,2.344456,0
2017-07-04,sz.300274,11.3400,11.3400,11.1900,11.2400,11.3500,8423736,94717263.0000,3,1.001187,1,-0.969168,0
2017-07-05,sz.300274,11.2400,11.3000,11.1100,11.2300,11.2400,8506919,95316494.0000,3,1.011073,1,-0.088970,0
2017-07-06,sz.300274,11.2200,11.2900,10.9800,11.1000,11.2300,13423504,149066176.0000,3,1.595424,1,-1.157606,0
2017-07-07,sz.300274,11.0800,11.1300,10.9100,11.1000,11.1000,8803818,96693191.0000,3,1.046361,1,0.000000,0
2017-07-10,sz.300274,11.0000,11.0700,10.7500,10.7600,11.1000,10987148,119250094.0000,3,1.305856,1,-3.063064,0
2017-07-11,sz.300274,10.7600,10.9200,10.6500,10.7100,10.7600,6122041,65979139.0000,3,0.727623,1,-0.464686,0
2017-07-12,sz.300274,10.7400,10.8600,10.6300,10.8600,10.7100,6401942,68906618.0000,3,0.760890,1,1.400557,0
2017-07-13,sz.300274,11.1100,11.1100,10.8300,10.8600,10.8600,7199003,78727418.0000,3,0.855624,1,0.000000,0
2017-07-14,sz.300274,10.9000,11.0100,10.8100,10.8600,10.8600,5878207,64057390.0000,3,0.698643,1,0.000000,0
2017-07-17,sz.300274,10.8300,10.8400,10.0500,10.1500,10.8600,14275894,148203009.0000,3,1.696734,1,-6.537754,0
2017-07-18,sz.300274,10.1400,10.4100,10.0800,10.3300,10.1500,10816768,110845264.0000,3,1.022983,1,1.773402,0
2017-07-19,sz.300274,10.3300,10.8900,10.2400,10.8200,10.3300,12170274,128840045.0000,3,1.150989,1,4.743464,0
2017-07-20,sz.300274,10.8300,11.3500,10.8300,11.1800,10.8200,21416114,240380679.0000,3,2.025404,1,3.327178,0
2017-07-21,sz.300274,11.1400,11.2400,11.0200,11.1600,11.1800,9523898,106034032.0000,3,0.900711,1,-0.178895,0
2017-07-24,sz.300274,11.1100,11.5000,11.1100,11.4200,11.1600,21328615,242386952.0000,3,2.017129,1,2.329751,0
2017-07-25,sz.300274,11.4200,11.5300,11.2500,11.4300,11.4200,10090334,114789076.0000,3,0.954281,1,0.087568,0
2017-07-26,sz.300274,11.3300,11.7000,11.3100,11.4900,11.4300,17679175,204786896.0000,3,1.671987,1,0.524930,0
2017-07-27,sz.300274,11.4500,11.8800,11.4400,11.7000,11.4900,23974463,280185104.0000,3,2.267357,1,1.827677,0
2017-07-28,sz.300274,11.6900,12.1500,11.6600,12.1100,11.7000,25777354,308993984.0000,3,2.437863,1,3.504272,0
2017-07-31,sz.300274,12.1900,12.8900,12.1900,12.6400,12.1100,37538140,474804080.0000,3,3.550125,1,4.376554,0
2017-08-01,sz.300274,12.6900,12.7600,12.3100,12.3800,12.6400,19066405,237535062.0000,3,1.803183,1,-2.056964,0
2017-08-02,sz.300274,12.4000,12.5600,12.3000,12.3200,12.3800,20249155,251577522.0000,3,1.915040,1,-0.484656,0
2017-08-03,sz.300274,12.3000,12.5400,12.0900,12.1600,12.3200,20580083,252931120.0000,3,1.946337,1,-1.298700,0
